   Tempo_min  X_1cm       X_5cm       X_10cm      T_1cm       T_5cm       T_10cm 
   105.        0.0061144   0.0072432   0.0060757   59.905282   59.560069   59.179783
   105.33333   0.0060792   0.0071705   0.0060501   59.908698   59.57546    59.206943
   105.66667   0.0060452   0.0071003   0.0060252   59.911991   59.590318   59.233215
   106.        0.0060125   0.0070324   0.0060008   59.915166   59.604661   59.258634
   106.33333   0.0059809   0.0069669   0.0059771   59.918226   59.618507   59.283227
   106.66667   0.0059505   0.0069036   0.0059539   59.921176   59.631872   59.307021
   107.        0.0059212   0.0068425   0.0059313   59.924021   59.644773   59.330041
   107.33333   0.0058929   0.0067835   0.0059093   59.926762   59.657226   59.35231 
   107.66667   0.0058656   0.0067265   0.0058878   59.929405   59.669246   59.373853
   108.        0.0058393   0.0066715   0.0058669   59.931953   59.680848   59.394692
   108.33333   0.0058139   0.0066183   0.0058465   59.934409   59.692046   59.41485 
   108.66667   0.0057895   0.006567    0.0058266   59.936776   59.702854   59.434348
   109.        0.0057659   0.0065174   0.0058073   59.939059   59.713286   59.453207
   109.33333   0.0057432   0.0064695   0.0057884   59.941259   59.723354   59.471447
   109.66667   0.0057213   0.0064233   0.00577     59.943379   59.733071   59.489088
   110.        0.0057001   0.0063787   0.0057521   59.945424   59.742448   59.506149
